" important for async scenario we must remove context from current thread so we always createnew rpccontext for  next invoke for  same thread	 ",positive
" is extended	 ",negative
" declare this method as final for performance reasons	 ",negative
" multikey specific members	 ",negative
" copy  data to  buffer	 ",negative
" we use protected for  fields so  fasthivedecimalimpl class can access m or classes including hivedecimal should not access se fields directly 	 ",negative
" todo pass on this exception	 ",negative
" use  rowid directly	 ",negative
" finally start  server	 ",negative
" don t record encodings for unneeded columns	 ",negative
" skip overwriting exisiting table object which is present because it was added after prewarm started	 ",negative
" sanity checks	 ",negative
" ensure re is no operation related object leak	 ",negative
" not actuallygetter	 ",negative
" this correlation to muxoperators	 ",negative
" verify zerodivide result for position 	 ",negative
" parse until field separator currentlevel	 ",negative
" in spark local mode we need to search added files in root directory	 ",negative
"  following loop should create stripes in  orc file	 ",negative
" read split	 ",negative
" put  keyvalue into  map	 ",negative
" if not using position alias  it isnumber	 ",negative
" binary sortable key serializer	 ",negative
" must be deterministic order map for consistent qtest output across java versions	 ",negative
" for unit tests	 ",negative
" pass lineagestate whendriver instantiates anor driver to run	 ",negative
" still nothing raise exception	 ",negative
" this operation	 ",negative
" needed to intercept readclassobject	 ",negative
" production thisname basetype maptype settype listtype	 ",negative
" part name	 ",negative
" currently getprimarykeys always returns an empty resultset for hive	 ",negative
" generate groupbyoperator formapside partial aggregation	 ",negative
" in  general case this set restricts automatic type conversion to just se functions	 ",negative
"  default orgapachehadoophiveqlhookspreexecuteprinter hook	 ",negative
" currently avgdistinct not supported in partitionevaluator	 ",negative
" orwise  registry has not been initialized skip for  time being	 ",negative
" lazy object inspectors for stringcharvarchar will all be cached in  same map	 ",negative
" see includeuapilinuxstath	 ",negative
" getfunctions	 ",negative
" skip  step to connect to  metastore	 ",negative
" grab round digit from middle word	 ",negative
" this isfull outer join this can never bemapjoin of any type so return false	 ",negative
" we include failedupdate only after looking at all  tasks at  same priority	 ",negative
" getevaluator forstring concatenation expression	 ",negative
" issue as would happen is re wastiny delay on  network so we don t care	 ",negative
" nonjavadoc see orgapachehadoopmapreduceliboutputfileoutputformat getrecordwriterorgapachehadoopmapreducetaskattemptcontext 	 ",negative
" for partitions flag controlling wher  current table specs are to be used	 ",negative
" generate  temporary file	 ",negative
" all must be selected orwise size would be zero repeating property will not change	 ",negative
" reset keyinitedmapsize flag since it may be set to true in  case of previous empty entry	 ",negative
" construct using orgapachehadoophivellapdaemonrpcllapdaemonprotocolprotossourcestateupdatedrequestprotonewbuilder	 ",negative
" remove  dummy store operator from  tree	 ",negative
" check if  function is really removed	 ",negative
" nonjavadoc see javaxsqlcommondatasource getlogwriter 	 ",negative
" addbasefilet p l 	 ",negative
" we have to set up  bucketing columns differently for update  deletes	 ",negative
" here are some negative cases as below 	 ",negative
" use linkedhashset to give predictable display order	 ",negative
" note we could skip creating  table  just add table type stuff directly to 	 ",negative
" this is  same as  setchildren method below but for empty tables it takes care of  following create  right object inspector set up  childrenoptooi with  object inspector so as to ensure that  initialization happens correctly 	 ",negative
" varchar should take string length into account varchar varchar varchar 	 ",negative
" confirm  batch sizes were as expected	 ",negative
" txns	 ",negative
" discard  blocks	 ",negative
" if partition columns occur in data we want to remove m	 ",negative
" note we pass in null factory because we allocate objects here we could also passpercall factory that would set filekey or set it after put	 ",negative
" same as in getrecordreader 	 ",negative
" check  cache first	 ",negative
"  deserializer is responsible for actually reading each record from  stream	 ",negative
" in case of select  data size does not change	 ",negative
" init parse context	 ",negative
" sort  objects first you are guaranteed that ifpartition is being locked  table has already been locked	 ",negative
" revoke with grant option only remove  grant option but keep  role	 ",negative
" create output row objectinspector	 ",negative
" generate possibly get fromcached result parent sparktran	 ",negative
" succeeded state	 ",negative
" this function returns  grouping sets along with  grouping expressions even if rollups  cubes are present in  query y are converted to	 ",negative
" worthwhile only if more than split consistentgroupingenabled  isfilesplit	 ",negative
" exclude insert queries	 ",negative
" add tinyint values	 ",negative
" key val 	 ",negative
" verify that  actual action also went through	 ",negative
" after one exception everything is expected to run	 ",negative
" skip  next child since we already took care of it	 ",negative
" excepted	 ",negative
" let s addlot of constant rows to test  rle	 ",negative
" set  cookie max age tovery low value so that	 ",negative
" change  key if need be	 ",negative
" nothing to do if re is notindex definition for this table	 ",negative
" first breaking up  filter conditions into equality comparisons between rightjoinkeysfrom  original filterinputrel  correlatedjoinkeys correlatedjoinkeys can be expressions while rightjoinkeys need to be input	 ",negative
" get most of  fields for  ids provided	 ",negative
" this should be called rarely enough for now it s ok to just lock every time	 ",negative
"  object count longwritable sum resulttype is reused during evaluating	 ",negative
" all parents should be reduce sinks we pick  one we just walked to choose  number of reducers in  joinunion case y will all be in sortorder case where it matters re will be only one parent	 ",negative
" clear out any parents as reducer is  root	 ",negative
" final string	 ",negative
" wait for stream threads to finish	 ",negative
" it would be possible to support this but this is suchpointless comm	 ",negative
" s silent	 ",negative
" release all  locks acquired for this object this becomes important for multitable inserts when one branch may take much more time than  ors it is better to release  lock for this particular insert  or option is to wait for all  branches to finish or set hivemultiinsertmovetaskssharedependencies to true which will mean that  first multiinsert results will be available when all of  branches of multitable	 ",negative
" we replace an earlier element must have lower offset	 ",negative
" validate unset non existed table properties	 ",negative
" we first do exact match  n do prefix matching  latter is due to input dir could be dirds part where part is not part of partition	 ",negative
" set  relevant information in  configuration for  accumuloinputformat	 ",negative
" todo vcpu settings possibly when drfa works right	 ",negative
" we allocate triples so we cannot go above highest integer power of 	 ",negative
" use numdistinctvalues if possible	 ",negative
" replace  map join operator to local map join operator in  operator tree	 ",negative
" path format datasourceintervalversionpartitionnumxxxzip	 ",negative
" partition columns are repeated so we test element 	 ",negative
" swap x  t h x	 ",negative
" test that existing shared write table with new shared write coalesces to	 ",negative
" alter partitioned table rename partition	 ",negative
" row is sufficient to know we have to kill  query	 ",negative
" average value size will be sum of all sizes of aggregation buffers	 ",negative
" call addtranslation just to get  assertions for overlap	 ",negative
" set up local work	 ",negative
" if normalize was used n dayhourminutesecondnanos should have  same sign this is currently working with that assumption	 ",negative
" validate  in items are only constants	 ",negative
" indicates malformed version	 ",negative
" forquery of  type insert overwrite table t select from subq union all subq u subq  subq write to directories parentchild  parentchild respectively  union is removed  movetask that follows subq  subq tasks moves  directory parent 	 ",negative
" convert to lower case in case we are getting from serde	 ",negative
" callback method used by subclasses to set  outputoi on  evaluator 	 ",negative
"  real implementation for  instanceset instanceset has its own copy of  zk cache yet completely depends on  parent in every or aspect  is thus unneeded	 ",negative
" from preacid insert	 ",negative
" re should be different txn ids associated with each lock	 ",negative
" master thread methods	 ",negative
" list of columns comma separated	 ",negative
" followed by each element	 ",negative
" definitelybyte most bytes fall here	 ",negative
" supports all types	 ",negative
" createstard settable union object inspector	 ",negative
" see also code in clidriverjava	 ",negative
" this chicanery is to get around  fact that  table needs to be final in order to	 ",negative
" nothing special needs to be done for grouping sets if this is  final group by operator  multiple rows corresponding to  grouping sets have been generated upstream however if an addition mr job has been created to hle grouping sets additional rows corresponding to grouping sets need to be created here	 ",negative
" ignore or types for purposes of authorization	 ",negative
" closed from orc writer we still need  data do not discard anything	 ",negative
" input is type date epochdays	 ",negative
" cpu cost sorting cost for each relation 	 ",negative
" char	 ",negative
" todo if  db name from  creation metadata for any of  tables has changed	 ",negative
" this won t usually be called orwise	 ",negative
" f is  file whence this split is	 ",negative
" pop list map	 ",negative
" call listlocatedstatus mockmocktable call check side file for mockmocktbl call open mockmocktbl call check side file for mockmocktbl 	 ",negative
" find  right op	 ",negative
" operations will be lost once owning session is closed	 ",negative
" n try serdeproperties	 ",negative
" as of now only used for bucket mapjoin re is exactly one event in  list	 ",negative
" if any  fields of struct are representing null n return true	 ",negative
" class hcataddpartitiondesc	 ",negative
" ast s are slightly different	 ",negative
" wher  method takes variablelength arguments wher  method takes an array like object or string etc in  last argument	 ",negative
" 	 ",negative
" for performance don t check that that  fieldref isn t recid everytime just assume that  caller used getallstructfieldrefs  thus doesn t have that fieldref	 ",negative
" recheck	 ",negative
" currently none innerbigonlyperbatchsetupbatch	 ",negative
" note that set basic stats false will wipe out column stats too	 ",negative
" nonjavadoc see javasqlpreparedstatement setbinarystreamint javaioinputstream int 	 ",negative
" subtraction with overflow check overflow produces null output	 ",negative
" ugi for  hive host kerberos principal	 ",negative
" if archiving was done at this or at upper level every matched partition would be archived so it not being archived means no archiving was done neir at this nor at upper level	 ",negative
" enabled for an acid case   file format is orc	 ",negative
" create lazystruct with serialized string with expected separators	 ",negative
" outputstream null means we need to process it for explain formatted	 ",negative
" prefix used to specify module specific properties mainly to avoid conflicts with older unittests properties	 ",negative
"  aggregation buffer already containspartial histogram refore we need to merge histograms using algorithm from  benhaim  tomtov paper	 ",negative
" incase of acid  file is orc so  extension is not relevant  should not be inherited	 ",negative
" new partition for example	 ",negative
" col vals	 ",negative
" hiveconfsetboolvarhiveconfconfvarsmerge cardinality violation check true	 ",negative
" bucketed mapjoin cannot be performed	 ",negative
" constants for sparse encoding	 ",negative
" anor thread might have already created se tables	 ",negative
" optional int version 	 ",negative
" re sbug in zkdelegationtokensecretmanager ctor where seconds are not converted to ms	 ",negative
" so clear timing in this thread s hive object before proceeding	 ",negative
" assign tables without nested column pruning info to  default conf	 ",negative
" requires to calculate stats if new partition doesn t have it	 ",negative
" test repeating case for null value	 ",negative
" singlecolumn long specific save key 	 ",negative
" if this table is working with acid semantics turn off merging	 ",negative
" get right table alias	 ",negative
" initialize  list of event hlers	 ",negative
" sincekey expression can becalculation   key will go intoscratch column	 ",negative
"do nothing vectorized expression that passes all rows through	 ",negative
" load  current incremental dump  ensure it does nothing  lastreplid remains same	 ",negative
" important important important  keys used to store info into  job configuration if any new keys are added  hcatstorer needs to be updated  hcatstorer updates  job configuration in  backend to insert se keys to avoid having to call setoutput from  backend which would causemetastore call	 ",negative
" if re is an equivalent version return that else return this version	 ",negative
" now set one column nullable	 ",negative
" test  unsecure base case when neir hadoop nor jobspecific credential provider is set 	 ",negative
" regular create table ddl	 ",negative
" removing semijoin optimization when it may not be beneficial	 ",negative
" more n one part exist	 ",negative
" skip cardinality violation clause 	 ",negative
"  it is not using this privilege mapping but it might make sense to move it here	 ",negative
" nanos converted to millis	 ",negative
" if sleep fails we should exit now before things get worse	 ",negative
" parser enforces that table alias is added but check again	 ",negative
" make sure  basic query properties are initialized	 ",negative
" bround without digits	 ",negative
"  hivejardir can be determined once per client	 ",negative
" clear  mapredwork output file from outputs for ctas ddlwork at  tail of  chain will have  output	 ",negative
" allocate  buffers prepare cache keys	 ",negative
" we compressfastbitset to bytes	 ",negative
" pbb 	 ",negative
" cannot rebuild not materialized view	 ",negative
" get notifications from metastore	 ",negative
" clean up  cache	 ",negative
" no need to reinitialize  currentusername currentroles fields	 ",negative
" cluster	 ",negative
" createtable so we can work against it	 ",negative
" ideally this should never happen  this should be an assert	 ",negative
" but default partition	 ",negative
" should not be done for semijoin since it will change  semantics invert join inputs this is done because orwise  semanticanalyzer methods to merge joins will not kick in	 ",negative
" no negative scale decimals	 ",negative
" required bytes input event proto bytes 	 ",negative
" get  vint that represents  map size	 ",negative
" if sarg is present get relevant stripe metadata from cache or readers	 ",negative
" byteswritable valuebyteswritable byteswritable valuewritable loginfovectorreducesinkcommonoperator collect keywritable keywritablegetlength vectorizedbatchutildisplaybyteskeywritablegetbytes keywritablegetlength valuewritable valuebyteswritablegetlength vectorizedbatchutildisplaybytesvaluebyteswritablegetbytes valuebyteswritablegetlength	 ",negative
" here means last txn in  batch is resolved but  close hasn t been called yet so re is nothing to heartbeat	 ",negative
" tolerance to check float equality	 ",negative
" compute stats before compaction	 ",negative
" we swap  join	 ",negative
" position before  last written value	 ",negative
" followed by key  nonkey input columns some may be missing	 ",negative
" nonbean fields needed during compilation	 ",negative
" convert  remainders intolist that are  ed toger	 ",negative
" size means nopooling case passthru	 ",negative
" note it is critical to do this here so that log j is reinitialized	 ",negative
" note that inputs  outputs can be changed when  query gets executed	 ",negative
" output string if no such replacement exists emit out  original input code point	 ",negative
" ignore if it isconstant	 ",negative
" x start inclusive to infinity	 ",negative
" avoid concurrent modification	 ",negative
" create virtual row type for project only rename fields	 ",negative
" do  removal before we change  element to avoid invalid queue ordering	 ",negative
" second copy of red different object	 ",negative
" nothing actually hashes to bucket so updatedelete deltas don t have it	 ",negative
" this is not likely to do  right thing for compaction of original files when re are copyn files	 ",negative
" table is not partitioned	 ",negative
" we know we never went that far when we were inserting	 ",negative
" in this case we are actually scaling up we don t have to do complicated things because doing scalingup after multiplication doesn t affect overflow it doesn t happen or happens anyways	 ",negative
" try to find in this input rel  position of cor var	 ",negative
" create input byteswritable this would have capacity greater than length	 ",negative
" check we have right delete delta files after minor compaction	 ",negative
" remove  node if it has expired	 ",negative
" if it is bucketing version skip it	 ",negative
" maximum length seen so far 	 ",negative
" convert to list as above set was created using setsunion for reasons explained re	 ",negative
" foreign keys	 ",negative
" provide  path to  field in  error message	 ",negative
" construct using orgapachehadoophivellapdaemonrpcllapdaemonprotocolprotospurgecacherequestprotonewbuilder	 ",negative
" this is admittedlybit simple statsobjectconverter seems to allow old stats attributes to be kept if  new values do not overwrite m	 ",negative
" set nonhdfs tables to external unless transactional should have been checked before this	 ",negative
" set  number of buckets here to ensure creation of empty buckets	 ",negative
" see columnprunergroupbyproc	 ",negative
" corrupt last entry	 ",negative
" todo check wher rowgroupoffsets can be null n we need to apply  predicate push down filter	 ",negative
" volatile because heartbeat may be indifferent thread updates of this are piggybacking	 ",negative
" by position in  row schema of  filesink operator	 ",negative
" we can just stop all  sessions	 ",negative
" length of mixedup	 ",negative
" save original values	 ",negative
" changes  type of  input references to adjust nullability 	 ",negative
" specialized class for doingvectorized map join that is an outer join onsinglecolumn long usinghash map 	 ",negative
" for multiinsert query currently we only optimize  from clause hence introduce multiinsert token on top of it however first we need to reset existing token insert using qbpgetclausenamesfordestsize would be equivalent but we use to avoid setting  property multiple times	 ",negative
" verify orc sarg still works	 ",negative
" opening  meta table ensures that cluster is running	 ",negative
" simple case no union	 ",negative
" an single string key hash multiset optimized for vector map join  key will be deserialized  just  bytes will be stored 	 ",negative
" determine if re is only one tablescanoperator currently in map vectorization we do not try to vectorize multiple input trees 	 ",negative
" gets new templeton controller objects 	 ",negative
" set not null constraint name if null before sending to listener	 ",negative
" given session ie  name can be fixed across all invocations	 ",negative
" lets use  remaining space in column as progress bar	 ",negative
" if mapper can span partitions make suresplits does not contain multiple oplist inputformatclassname deserializerclassname combination this is done using  map of combinepathinputformat to pathfilter	 ",negative
" nonjavadoc this provideslazyhivedecimal like class which can be initialized from data stored inbinary format see orgapachehadoophiveserde lazylazyobject init orgapachehadoophiveserde lazybytearrayref int int 	 ",negative
" from here we evaluate  auto mode	 ",negative
" update source info if  state is succeeded	 ",negative
" to se bottom layer reducesinkoperators	 ",negative
" delink union	 ",negative
" no rounding	 ",negative
" need to pass all of  columns used in  where clauses as reduce values	 ",negative
" opening  meta table ensures that cluster is running	 ",negative
" now we takelocal tz offset at midnight utc say we are in that means surprise	 ",negative
" reject all paths to force it to continue when no more paths should throw an exception	 ",negative
" kerberos	 ",negative
" that are not in our wordlist eg table  column names	 ",negative
" if we have too many results return null forfull scan	 ",negative
" addnot operator in  beginning this is for  cloned operator because we	 ",negative
" if start index is in query that is equivalent to using in query so internal offset is 	 ",negative
" this happens when  code inside  jmx bean setter from  java docs threw an exception so log it  fall back on  class name	 ",negative
" if imported serdeformat is null n set it to just as metadatatablegetemptytable 	 ",negative
" bounded queue could be specified here but that will lead to blocking concurrentlinkedqueue is unbounded  will release soft referenced kryo instances under	 ",negative
" build gb keys grouping set starting position	 ",negative
" if re are no sample cols  no bucket cols n throw an error	 ",negative
" raise error if we could not find  column	 ",negative
" offset by because  first frames are just calls to get down here	 ",negative
" in each group walk from most recent  count occurences of each state type once you have counted enough for each state to satisfy retention policy delete all or instances of this status 	 ",negative
" casesensitive string found	 ",negative
" is created using field name	 ",negative
" let caller set negative sign if necessary	 ",negative
" execute select statement  verify  result set should be two rows	 ",negative
" delete functions created by  tests it is enough to remove functions from  default database or databases are dropped	 ",negative
" expected result th entry is  recordidentifier data st entry file before compact 	 ",negative
" verify that  beginning entry is  only one that matches	 ",negative
" assumes one instance of this singlethreaded compilation for each query	 ",negative
" system registry should not be used to check persistent functions see ispermanentfunc	 ",negative
" estimated number of bytes needed	 ",negative
" inactive nodes restart every call 	 ",negative
" framework	 ",negative
" binary arithmetic operator	 ",negative
" pick  length of  first ptn we expect all ptns listed to have  same number of keyvals	 ",negative
" createnew vertex	 ",negative
" eg delta or base 	 ",negative
" nonskewed value add it to list for later hle on default directory	 ",negative
" update for next iteration	 ",negative
" copy to java object because that saves object creation time note that on average  number of copies is logn so that s not very important	 ",negative
" iterate through  batch  for each owid rowid in  batch check if it is deleted or not	 ",negative
" track of  variable length keys	 ",negative
" map from partid stattype value	 ",negative
" map  newly allocated write ids against  list of txns which doesn t have preallocated	 ",negative
" roundlongcol returnslong  isnoop so it will not be implemented here	 ",negative
" process multikey leftsemi join onvectorized row batch	 ",negative
" resource plan	 ",negative
" operators for which  optimization will be successful 	 ",negative
" for dummy partitions only partition name is needed	 ",negative
" oi serde helper methods 	 ",negative
" set some of parameters for prepared sql not all of m	 ",negative
" groupby operator in reducer may not be processed in parallel skip optimizing	 ",negative
" parse analyze optimize  compile	 ",negative
" again with correct output type 	 ",negative
" specify  default log j properties file	 ",negative
" loop over  given inlist elements	 ",negative
" recurse over  subqueries to fill  subquery part of  plan	 ",negative
" we are only interested in exprnodecolumndesc	 ",negative
" createznode under  rootnamespace parent for this instance of  server znode name serverurihostportversionversioninfosequencesequencenumber	 ",negative
" extrapolation is needed for some columns in this case at leastcolumn status forpartition is missing	 ",negative
" is reinsert in  subquery	 ",negative
" env interface to mock out dealing with environment variables this allows us to interface with environment vars through beelineopts while allowing tests to mock out env setting if needed	 ",negative
" update  time if it hasn t been specified	 ",negative
" if it issingle item in an in clause transformin b tob from in ab equals ab except complex types	 ",negative
" remember we used this one in  query	 ",negative
" for each dynamic partition check if it needs to be merged	 ",negative
" if this conversion is frequently used this should be optimized eg by converting to decimal from  input bytes directly without makingnew string 	 ",negative
" this should only ever be called in testing scenarios re should not be any or users of  cache or its entries or this may mess up cleanup	 ",negative
" if  given value istype of lazyobject n only try  convert it to that form	 ",negative
" buildhivetox column mapping 	 ",negative
" timer that reports every minutes to  jobtracker this ensures that even if  operator returning rows for greater than that durationprogress report is sent to  tracker so that  tracker does not think that  job is dead	 ",negative
" creating  context can createbunch of files so make sure to clear it out	 ",negative
" get  process  current datum	 ",negative
" keep toread list for future use don t extract	 ",negative
" io cost cost of transferring small tables to join node 	 ",negative
" primitives except binary	 ",negative
" same test as above but with jars sharing dependencies	 ",negative
" this is where  spilling may happen again	 ",negative
" note we might want to be smarter if threadids are low  re more arenas than threads	 ",negative
" node	 ",negative
" of this operator	 ",negative
" col	 ",negative
" add children self to  front of  queue in that order	 ",negative
" hive server session check interval is set to seconds so we have to wait for at least	 ",negative
" note that we cannot allow users to provide app id since providing somebody else s appid would give one llap token  splits for that app id if we could verify it somehow yarn token nothing we can do in an udf we could get it from client already running on yarn as such  clients running on yarn will have two app ids to be aware of	 ",negative
" negative max cache size means unbounded	 ",negative
" switch to iterate foreign keys	 ",negative
" if re are uncompacted original files y will be included in compaction so	 ",negative
" tests for list partition add partitionslist partition partitions boolean ifnotexists boolean needresults method	 ",negative
" test serialization  deserialization with different schemas	 ",negative
" if we are moving  partition across filesystem boundaries inherit from  table properties orwise same filesystem use  original partition location see hive  hive for background 	 ",negative
" mutable threadsafe map to store instances	 ",negative
" add column info corresponding to partition columns	 ",negative
" default type is table	 ",negative
" case now with entries try  above settings	 ",negative
" blurb list	 ",negative
" process deregister	 ",negative
" case column stats no hash aggregation grouping sets	 ",negative
" prevents throwing exceptions in our raw store calls since we re not using rawstoreproxy	 ",negative
" string type in hive is represented as varchar with precision integermax value in turn  max varchar precision should be however  value is not used for validation but rar only internally by  optimizer to know  max precision supported by  system thus no varchar precision should fall between	 ",negative
" construct using orgapachehadoophivellapdaemonrpcllapdaemonprotocolprotosgettokenrequestprotonewbuilder	 ",negative
" of column name within regex pattern with its corresponding value if provided	 ",negative
" auth has been initialized	 ",negative
" nonjavadoc see javasqlcallablestatement gettimeint javautilcalendar 	 ",negative
" no such job	 ",negative
" submit  job	 ",negative
" try to replacebucket map join withsorted merge map join	 ",negative
" or formats can be converted to insertonly transactional tables	 ",negative
" do not update metrics we didn t update on removal	 ",negative
" hadoop fixed version alpha 	 ",negative
" moving tablespartitions depend on  dependencytask	 ",negative
" an single byte array value hash map based on  bytesbytesmultihashmap since bytesbytesmultihashmap does not interpret  key as binarysortable we optimize this case  just reference  byte array key directly for  lookup instead of serializing  byte array into binarysortable we rely on it just doing byte array equality comparisons 	 ",negative
" parse  json map	 ",negative
" makecopy of  statement s result schema since we may	 ",negative
" nop	 ",negative
"  number of children slots used	 ",negative
" remove from  runningtasklist	 ",negative
" present	 ",negative
" if embedded metastore is to be used as per config so far	 ",negative
" heartbeats on  txn table this commits so do not enter it with any state	 ",negative
" since  user running  test won t belong tononexistent group foo bar group  call to getdelegationtokenstr will fail	 ",negative
" nothing to do here	 ",negative
" this is notjoin condition will get hled by predicate pushdown	 ",negative
" hcatconfsetconfvarssemantic analyzer hookvarname 		hcatsemanticanalyzerclassgetname	 ",negative
"type date longcolumnvector storing epoch days minustype date producestype interval day time timestampcolumnvector storing nanosecond interval in longs	 ",negative
" add procedures as y can be invoked by functions	 ",negative
" singlecolumn long specific lookup key 	 ",negative
" here we are disconnecting root with its parents however we need to savefew information since in future we may reach  parent operators viadifferent path  we may need to connect parent works with  work associated	 ",negative
" this is used for tests where re s always just one batch of work  we do  checks after  batch so  check will only come at  end of queueing	 ",negative
" report or forward	 ",negative
" foundsemijoin branch re can be more than one semijoin branch coming from  parent	 ",negative
" we assume that no rgs value is only set from sarg filter  for all columns intermediate changes for individual columns will unset values in  array skip this case for column read we could probably specialcase it just like we do in encodedreaderimpl but for now it s not that important	 ",negative
" this will be null at slave nodes	 ",negative
" at this point tasks running both at priority 	 ",negative
" create our vector map join optimized hash table variation above  map join table container	 ",negative
" hdfs session path	 ",negative
" qualifiers	 ",negative
" this isn t really used for anything	 ",negative
" find proxy user if any from query param	 ",negative
" must bestruct	 ",negative
" protoc insertion pointclass scopeuserpayloadproto	 ",negative
" schedule low pri first when high pri is scheduled it takes away  duck from  low pri task when  high pri finishes low pri gets  duck back	 ",negative
" compute join keys  store in reducekeys	 ",negative
" add new item to  spark work	 ",negative
" increase  row count	 ",negative
" repl export has repllastid  replscopeall in it import repl dump table has repllastid on it will likely be 	 ",negative
" update  log level for  specified logger	 ",negative
" if expression is udf it is not permanent udf	 ",negative
" we don t want to put any limits on this task as this is essential before we start processing new database events 	 ",negative
" local file system path for spilled hashmap status of hashmap true on disk false in memory when re s no enough memory cannot create hashmap used to create an empty bytesbytesmultihashmap same as above same as above how many rows saved to  ondisk hashmap if on disk	 ",negative
" write  null byte every eight elements or if this is  last element  serialize 	 ",negative
" traverse  byte buffer containing  input string one code point attime	 ",negative
" undone col col vs scalar col vs col scalar testcodegenaddcolumncolumnoperationtestcases classname inputcolumnvectortype inputcolumnvectortype long 	 ",negative
" convert  keyvalue pairs	 ",negative
" try it again with an include vector	 ",negative
" runsstat against  servers	 ",negative
" one row existence	 ",negative
"  one created here will not be added	 ",negative
" at least  header should fit	 ",negative
" we have min txn max txn  is major in jobconf so we could figure out exactly what  dir name is that we want to rename leave it for anor day	 ",negative
" unfortunately we cannot directly readprotected field of nonthis object	 ",negative
"  block is being moved  move will release memory	 ",negative
" put partial aggregation results in reducevalues	 ",negative
" stored here only as async operation context	 ",negative
" use calcite cost model for view rewriting	 ",negative
" cannot optimize any ors	 ",negative
" boolean stats	 ",negative
" this was  only predicate set filter expression to const	 ",negative
" preallocated member for storing any nonspills nonmatches or merged row indexes during a	 ",negative
" this hash function returns  same result as doublehashcode while doublewritablehashcode returnsdifferent result	 ",negative
" max file num  size used to dosingle copy after that distcp is used	 ",negative
" nonnull column alias	 ",negative
" zero result	 ",negative
" syntic predicates from semijoin opt should not affect stats	 ",negative
" this is where counters are logged 	 ",negative
" see  comment in hleupdateforsingleprioritylevel	 ",negative
" opnode s type is always eir kw exists or kw in never notexists or notin to figure this out we need to check it s gr parent s parent	 ",negative
" clear rounding portion in high longword  add at right scale roundmultiplyfactor middle  lower longwords result is 	 ",negative
" if  function is distinct partial aggregation has not been done on  client side if distpartagg is set  client is letting us know that partial aggregation has not been done for eg selectcountb c countdistinct d e group byfor countb c if partial aggregation has been performed n we directly look for countb c orwise we look for b c for distincts partial aggregation is never performed on  client side so always look for  parameters d e	 ",negative
" extract  sequence number of this ephemeralsequential znode	 ",negative
"  extra non existing values will be ignored	 ",negative
" additional data structures needed for  join optimization through hive	 ",negative
" we could just do tolowercase here  let sa qualify it but let s be proper	 ",negative
" if it is not ctas we don t need to go furr  just return	 ",negative
" remember which reducesinks we ve already connected	 ",negative
" override public comesotericsoftwarekryoiooutput gethybridbigtablespilloutputint partitionid hybridhashtablecontainer ht hybridhashtablecontainer mapjointablecontainer hashpartition hp htgethashpartitionspartitionid return hpgetmatchfileoutput 	 ",negative
" createdummy database couple of dummy tables	 ",negative
" call open mockmocktbl 	 ",negative
" tracks only running portion of  query	 ",negative
" object inspectors for input rows	 ",negative
"  finally let s check output sizes	 ",negative
" print vertexname	 ",negative
" test alter table with schema change	 ",negative
" in case when user ctrlc twice to kill hive cli jvm we want to release locks	 ",negative
" only if  column stats is available update  data size from  column stats	 ",negative
" read totalmonths from datainput	 ",negative
" spit is marked isoriginal but it s not an immediate child ofpartition nor is it inbase or delta this should never happen	 ",negative
" is blockcompressed it should be always false	 ",negative
" no order by as it s just row	 ",negative
" len value	 ",negative
" add children to taskstovisit	 ",negative
" createnew distinctvalueestimator 	 ",negative
" apply  rules in  spec to fill in any missing pieces of every window specification also validate that  effective specification is valid  rules applied are for wdw specs that refer to window defns inherit missing componentswindow spec with no parition spec is partitioned onconstantnumber for missing wdw frames or for frames with onlystart boundary completely specify m by  rules in link effectivewindowframe validate  effective window frames with  rules in link validatewindowframe if re is no order n add  partition expressions as  order 	 ",negative
" we store  chunk indices by split file that way if several callers are reading  same file y can separately store  remove  relevant parts of  index	 ",negative
" invert words	 ",negative
" sort  list to get sorted deterministic output for ease of testing	 ",negative
" suppose it s  first major compaction so we only have deltas	 ",negative
" long masks  values	 ",negative
" join which are part of join keys	 ",negative
" current write ids are not valid	 ",negative
" empty rows for each table	 ",negative
" no value for kale	 ",negative
" we need partitions for firing events  for result dn needs mpartitions to drop great maybe we could bypass fetching mpartitions by issuing direct sql deletes	 ",negative
" change lock manager orwise unittest doesn t go through	 ",negative
" if notcontrol character do nothing	 ",negative
" functiontype	 ",negative
" emit  rest of word 	 ",negative
" run cleaner to delete rows for  aborted transaction	 ",negative
" add new rel its rr to  maps	 ",negative
" table alias small input file name big target file names small	 ",negative
" this will happen in case of joins  current plan can be thrown away after being merged with  original plan	 ",negative
" long columncolumn if	 ",negative
" write back previous field s null byte	 ",negative
" serialize  union	 ",negative
" is for internal getacidstate purposes  means  delta dir had no statement id	 ",negative
" load into compressed buf first	 ",negative
" stores all  downloaded resources as key   jars which depend on se resources as values in form oflist used for deleting transitive dependencies	 ",negative
" verify that hive is caching  object inspectors for us	 ",negative
" explicitly using only  start offset ofsplit  not  length splits generated on block boundaries  stripe boundaries can vary slightly try hashing both to  same node re is  drawback of potentially hashing  same data on multiple nodes though whenlarge split is sent to node second invocation uses smaller chunks of  previous large split  send m to different nodes	 ",negative
" blank byte new tai lue letter low ba ubytes	 ",negative
" validation 	 ",negative
" create an http client from  configs	 ",negative
" try opportunistically for  common case  samesized allocated buddy	 ",negative
